league,team,players_used,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,url
ESP-La Liga,Valladolid,27,26.1,42.3,21,231,1890,21,14,9,23,11,3,3,60,3,18.6,16.3,13.8,30.1,257,546,0.67,0.43,1.1,0.52,0.95,0.89,0.66,1.54,0.78,1.43,/en/squads/17859612/Valladolid-Stats
ESP-La Liga,Villarreal,26,27.8,48.3,21,231,1890,21,37,24,61,32,5,7,60,2,37.1,31.5,25.8,57.3,370,854,1.76,1.14,2.9,1.52,2.67,1.77,1.23,3.0,1.5,2.73,/en/squads/2a8183b3/Villarreal-Stats
FRA-Ligue 1,Angers,23,28.1,42.4,19,209,1710,19,20,13,33,17,3,4,26,1,22.5,19.3,15.7,35.0,294,558,1.05,0.68,1.74,0.89,1.58,1.18,0.82,2.01,1.02,1.84,/en/squads/69236f98/Angers-Stats
FRA-Ligue 1,Auxerre,27,26.5,42.3,19,209,1710,19,25,18,43,23,2,3,38,4,22.8,20.6,17.6,38.2,263,638,1.32,0.95,2.26,1.21,2.16,1.2,0.93,2.13,1.08,2.01,/en/squads/5ae09109/Auxerre-Stats
FRA-Ligue 1,Brest,26,28.6,48.7,19,209,1710,19,29,18,47,23,6,8,37,1,24.3,18.0,14.0,32.0,262,603,1.53,0.95,2.47,1.21,2.16,1.28,0.73,2.01,0.95,1.68,/en/squads/fb08dbb3/Brest-Stats
FRA-Ligue 1,Le Havre,28,27.4,42.5,19,209,1710,19,12,8,20,9,3,3,34,2,18.9,16.5,11.5,28.1,272,622,0.63,0.42,1.05,0.47,0.89,1.0,0.61,1.6,0.87,1.48,/en/squads/5c2737db/Le-Havre-Stats
FRA-Ligue 1,Lens,29,27.5,54.8,19,209,1710,19,21,11,32,19,2,2,47,4,30.8,29.3,21.1,50.4,329,865,1.11,0.58,1.68,1.0,1.58,1.62,1.11,2.73,1.54,2.65,/en/squads/fd4e0f7d/Lens-Stats
FRA-Ligue 1,Lille,24,26.4,57.3,19,209,1710,19,29,16,45,24,5,7,48,1,30.4,25.4,19.6,45.0,385,897,1.53,0.84,2.37,1.26,2.11,1.6,1.03,2.63,1.34,2.37,/en/squads/cb188c0c/Lille-Stats
FRA-Ligue 1,Lyon,27,28.3,55.7,19,209,1710,19,27,19,46,25,2,4,32,0,31.7,28.5,22.6,51.2,386,948,1.42,1.0,2.42,1.32,2.32,1.67,1.19,2.86,1.5,2.69,/en/squads/d53c0b06/Lyon-Stats
FRA-Ligue 1,Marseille,28,27.1,61.8,19,209,1710,19,39,25,64,34,5,6,37,5,31.6,26.8,20.7,47.5,331,873,2.05,1.32,3.37,1.79,3.11,1.66,1.09,2.75,1.41,2.5,/en/squads/5725cc7b/Marseille-Stats
FRA-Ligue 1,Monaco,26,24.8,56.7,19,209,1710,19,32,26,58,30,2,2,38,3,40.4,39.0,31.7,70.7,379,916,1.68,1.37,3.05,1.58,2.95,2.13,1.67,3.79,2.05,3.72,/en/squads/fd6114db/Monaco-Stats
FRA-Ligue 1,Montpellier,30,27.3,46.2,19,209,1710,19,20,11,31,17,3,4,56,6,22.2,19.2,14.1,33.2,310,609,1.05,0.58,1.63,0.89,1.47,1.17,0.74,1.91,1.01,1.75,/en/squads/281b0e73/Montpellier-Stats
